"","p1 vs. HD p-value","p2 vs. HD p-value","p1 vs. HD FDR","p2 vs. HD FDR"
"b-NGF",0.940743433526761,0.267419879464422,0.996110836323737,0.768832153460213
"CTACK",0.464462400929633,0.683707043811672,0.721629839081695,0.888937648209486
"Eotaxin",0.586900791034276,0.405743040869463,0.749928788543797,0.888937648209486
"FGF",0.842184731976943,0.669365933449354,0.929815068303236,0.888937648209486
"G-CSF",0.343703909102224,0.662257996894952,0.721629839081695,0.888937648209486
"GM-CSF",0.347080772858933,0.190579887279921,0.721629839081695,0.720922729216474
"GRO-a",0.812340474256248,0.537964562226319,0.929815068303236,0.888937648209486
"HGF",0.975028433904182,0.88208603821489,0.996110836323737,0.916691164428889
"IFN-g",0.0942976152171333,0.187885490852293,0.721629839081695,0.720922729216474
"IL-1a",0.816677939020894,0.734339796346966,0.929815068303236,0.888937648209486
"IL-1b",0.543308315506711,0.779269976541324,0.738795287078775,0.891849683131763
"IL-1ra",0.995981827178956,0.811174357982617,0.996110836323737,0.891849683131763
"IL-2",0.192656939617069,0.203739032169873,0.721629839081695,0.720922729216474
"IL-2Ra",0.848961584102954,0.0328735776051311,0.929815068303236,0.635428639335049
"IL-4",0.114646509260457,0.0921447615184511,0.721629839081695,0.706443171641458
"IL-5",0.381094343995097,0.896763095636957,0.721629839081695,0.916691164428889
"IL-6",0.562126848864286,0.860729134421908,0.738795287078775,0.916691164428889
"IL-7",0.245082823515129,0.245082823515129,0.721629839081695,0.768832153460213
"IL-8",0.429749709030701,0.434562778902705,0.721629839081695,0.888937648209486
"IL-9",0.353657611045505,0.565385600647086,0.721629839081695,0.888937648209486
"IL-10",0.502003366317701,0.572160205658407,0.721629839081695,0.888937648209486
"IL-12(p70)",0.233721803973464,0.439609682496362,0.721629839081695,0.888937648209486
"IL-12(p40)",0.451300408221827,0.149533063000934,0.721629839081695,0.720922729216474
"IL-13",0.0401067499061714,0.146179896720083,0.430430963376803,0.720922729216474
"IL-15",0.432646800899302,0.918413027328526,0.721629839081695,0.918413027328526
"IL-16",0.713411662271774,0.342378895243229,0.881251690101398,0.874968287843806
"IL-17A",0.330122173609794,0.721811762247043,0.721629839081695,0.888937648209486
"IL-18",0.996110836323737,0.77111069604742,0.996110836323737,0.891849683131763
"IP-10",0.45976184194314,0.3993315628679,0.721629839081695,0.888937648209486
"LIF",0.203082332202383,0.0690683303625053,0.721629839081695,0.635428639335049
"M-CSF",0.172419318427179,0.0262287452351167,0.721629839081695,0.635428639335049
"MCP-1(MCAF)",0.0307441883115675,0.727224063185306,0.430430963376803,0.888937648209486
"MCP-3",0.331332762038679,0.331332762038679,0.721629839081695,0.874968287843806
"MIF",0.4066074725549,0.519190313815027,0.721629839081695,0.888937648209486
"MIG",0.426953560359125,0.726607510154906,0.721629839081695,0.888937648209486
"MIP-1a",0.493566537288613,0.194778046752694,0.721629839081695,0.720922729216474
"MIP-1b",0.727990526605503,0.814297536772479,0.881251690101398,0.891849683131763
"PDGF-bb",0.555661097108088,0.458923057958089,0.738795287078775,0.888937648209486
"RANTES",0.330851923715751,0.682017953456833,0.721629839081695,0.888937648209486
"SCF",0.0280539642903108,0.0558327545228366,0.430430963376803,0.635428639335049
"SCGF-b",0.00608598909671291,0.251020972364164,0.279955498448794,0.768832153460213
"SDF-1a",0.359537942102595,0.110833657684437,0.721629839081695,0.720922729216474
"TNF-a",0.0467859742800872,0.0467859742800872,0.430430963376803,0.635428639335049
"TNF-b",0.352135705650151,0.674010203203996,0.721629839081695,0.888937648209486
"TRAIL",0.337625222805139,0.563031708560999,0.721629839081695,0.888937648209486
"VEGF",0.488519905606187,0.58443064464474,0.721629839081695,0.888937648209486
